aid	title_google	title_onlinedoc	title_deepl
126916	Police arrest Cologne burglar gang 	Police arrest Cologne burglar gang	Police arrest Cologne burglary gang
126917	FC coach beginning with important change in training 	FC coach starts with an important change in training	FC coach Anfang with important change in training
126919	20-year-old injured in accident in Nackhausen 	20-year-old injured in an accident in Nackhausen	20-year-old injured in accident in Nackhausen
126920	US criminal duties on EU cars? Brussels threatens retaliation 	US punitive tariffs on EU cars? Brussels threatens retaliation	US punitive tariffs on EU cars? Brussels threatens retaliation
126921	Father and eight-year-old daughter dead in Bach found 	Father and eight-year-old daughter found dead in Bach	Father and eight-year-old daughter found dead in creek
126922	Cologne police determined in Rockerszene 	Cologne police are investigating the rocker scene	Cologne police investigate rocker scene
126924	When RAP video turning: Police overwhelmed eight men 	During the rap video shoot: the police overwhelmed eight men	During rap video shooting: police overpower eight men
126925	How to celebrate Max Giesinger Carnival in Ladybug Costume 	How Max Giesinger celebrates Carnival in a ladybug costume	How Max Giesinger celebrates carnival in ladybug costume
126926	Design for the promenade on the Bachstraße approved 	Draft for the promenade on Bachstrasse approved	Design for the promenade on Bachstraße approved
126927	Federal Police can use BodyCams in the future 	The federal police can use bodycams in the future	Federal police may use body cameras in the future
126928	Is a traffic light system as a permanent solution? 	Is a traffic light system suitable as a permanent solution?	Is a traffic light system suitable as a permanent solution?
126929	Stop for all road building measures in Gummersbach 	Stop for all road construction work in Gummersbach	Stop for all road construction measures in Gummersbach
126930	"Losemund theater shows entertaining swank ""Murder by Sex"" "	"Losemund Theater shows entertaining Schwank ""Murder by Sex"""	"Losemund Theatre presents entertaining comedy ""Murder by Sex"
126931	"""It's also about the podcaster around the corner"" "	"""It's also about the podcaster around the corner"""	"""It's also about the podcaster around the corner""."
126932	Dog should have shot with rifle with gun 	Dog is said to have shot his master with a rifle	Dog allegedly shot master with rifle
126933	NRW Interior Minister Reul wants to retrieve German IS fighters 	NRW Interior Minister Reul wants to bring German IS fighters back	NRW Interior Minister Reul wants to bring back German IS fighters
126934	The kissing sailor from Times Square is dead 	The kissing sailor from Times Square is dead	The kissing sailor from Times Square is dead
126936	"""We need to build lines before switching off power plants"" "	"""We have to build lines before we shut down power plants"""	"""We need to build transmission lines before we shut down power plants"""
126937	FCN Interim Trainer Changes StartTelf to Three Positions 	FCN interim coach changes starting eleven to three positions	FCN interim coach changes starting eleven in three positions
126938	Paraguay makes Argentine Berizzo to the National Coach 	Paraguay makes Berizzo the national coach of Argentina	Paraguay makes Argentine Berizzo national coach
126939	Dead of Greemersdorf was asylum seeker from Iran 	Dead von Gremersdorf was an asylum seeker from Iran	Dead woman from Gremersdorf was asylum seeker from Iran
126940	Hints on collective displacement to Afghanistan 	Indications of collective deportation to Afghanistan	Indications of collective deportation to Afghanistan
126941	Dudder: Nuremberg and Fürth call disaster 	Duds: Nuremberg and Fürth call for a disaster	Unexploded ordnance: Nuremberg and Fürth declare disaster situation
126942	Juncker does not exclude British participation in European elections 	Juncker does not rule out British participation in the European elections	Juncker does not rule out British participation in European elections
126943	Djokovic and Biles win Laureus World Sports Awards 	Djokovic and Biles win Laureus World Sports Awards	Djokovic and Biles win Laureus World Sports Awards
126944	BVB with draw against Nuremberg - protests with tennis balls 	BVB with a draw against Nuremberg - protests with tennis balls	BVB with draw against Nuremberg - protests with tennis balls
126945	Airport security personnel: Verdi wants to negotiate 	Airport security staff: Verdi wants to renegotiate	Airport security staff: Verdi wants to renegotiate
126946	MAN UNITED after 2: 0 at Chelsea in the quarterfinals of the FA Cup 	Man United after 2-0 at Chelsea in the quarterfinals of the FA Cup	Man United after 2-0 at Chelsea in the quarterfinals of the FA Cup
126947	BVB will not win again - FCN protective help for Bavaria 	BVB does not win again - FCN-Schützenhilfe for Bayern	BVB does not win again - FCN support for Bayern
126949	Federal Labor Court deals with vacation standards 	Federal Labor Court deals with vacation entitlements	Federal Labor Court deals with vacation entitlements
126950	Dortmund hopes on comeback from Reus against Leverkusen 	Dortmund is hoping for a comeback from Reus against Leverkusen	Dortmund hopes for comeback of Reus against Leverkusen
126951	Rent and prices continue? 	Will rents and prices continue to rise?	Will rents and prices continue to rise?
126952	16 US states complain against Trump's Regulation 	16 US states are suing Trump's regulation	16 U.S. states sue to challenge Trump's executive order
126953	Business consultant finds a lot of sand in the gearbox of the town hall 	Management consultant finds a lot of sand in the gears of the town hall	Management consultant finds a lot of sand in the gears of city hall
126954	That changes to the Euskirchener Rose Monday train 	That changes with the Euskirchen Rosenmontagszug	This changes at the Euskirchen Rose Monday procession
126955	Why men should shave in the morning only on sober stomach 	Why men should only shave on an empty stomach in the morning	Why men should shave in the morning only on an empty stomach
126956	Terrain of old explosive factory Orica should be built 	The site of the old Orica explosives factory is to be built on	Site of old Orica explosives factory to be built on
126957	"""Go to survival of the city center"" "	"""Is about the continuation of the Frechen city center"""	"""Is about the continued existence of the Frechen city center""."
126958	Buses receive their own trace in Leverkusen Opladen 	Buses have their own lane in Leverkusen-Opladen	Buses get their own lane in Leverkusen-Opladen
126959	30 families demand their rights after cancellation 	30 families are demanding their rights after being rejected	30 families claim their rights after cancellation
126960	Cologne Kita does not want to look after abused children anymore 	Cologne daycare center no longer wants to look after abused children	Cologne daycare center no longer wants to care for abused children
126961	"Ehrhoff one year after silver: ""A bit of everyday spotted"" "	"Ehrhoff one year after silver: ""A bit of everyday life has returned"""	"Ehrhoff one year after silver: ""A bit of everyday life has returned""."
126962	Animal Protectors in South Africa criticize Flamingo Rescue 	Animal rights activists in South Africa criticize flamingo rescue	Animal rights activists in South Africa criticize flamingo rescue
126963	County pays for Marc's taxi 	County pays for Marc's taxi	County pays for Marc's cab
126964	Clock Ticks: How to continue with Islam school lessons? 	The clock is ticking: what's next for Islamic school lessons?	Clock ticking: What's next for Islam schooling?
126965	300 liters diesel lay highway lame: A2 free again 	300 liters of diesel paralyze the autobahn: A2 again	300 liters of diesel paralyze highway: A2 open again
126966	Employees examine company retirement provision 	Labor judges examine company pension schemes	Labor judges examine company pension plan
126967	Tom Tailor is said to be completely Chinese 	Tom Tailor should become completely Chinese	Tom Tailor to become completely Chinese
126968	Wilderer shoot more than 1000 reindeer in Siberia 	Poachers shoot more than 1,000 reindeer in Siberia	Poachers shoot more than 1000 reindeer in Siberia
126969	Vapiano customers should be operated faster 	Vapiano customers should be served faster	Vapiano customers to be served faster
126970	16 US states: Collective action against Trump's emergency statement 	16 US states: class action lawsuit against Trump's declaration of emergency	16 U.S. states: class action lawsuit against Trump's emergency declaration
126971	World War Bomb blasted: Residents can sleep at home 	World war bomb blown: residents can sleep at home	World War II bomb blown up: residents can sleep at home
126972	Emergency group set up in Euskirchen - long-term solution wanted 	Emergency group set up in Euskirchen - long-term solution sought	Emergency group established in Euskirchen - long-term solution sought
126973	Fire brigade rescues six people from burning hotel room 	Fire brigade rescues six people from a burning hotel room	Fire department rescues six people from burning hotel room
126974	"BVB stumbles again - ""Club"" defended brave "	BVB stumbles again - “Club” defends bravely	"BVB stumbles again - ""Club"" defends valiantly"
126975	Did the son wanted to kill his sick mother? 	Did the son want to kill his sick mother?	Did the son want to kill his sick mother?
126976	Can parents and teachers use WhatsApp for the exchange? 	Are parents and teachers allowed to use WhatsApp for exchanges?	Are parents and teachers allowed to use Whatsapp for exchanges?
126977	The fear of the Islamist travel wave 	The fear of the Islamist wave of travel	The fear of the Islamist travel wave
126978	Resistance to real estate sales 	Resistance to real estate sales	Resistance to the sale of real estate
126979	The beeswarm comes to Mülheim 	The swarm of bees comes to Mülheim	The swarm of bees comes to Mülheim
126980	Ice roll hopping in the hall 	Ice floe hopping in the hall	Ice floe hopping in the hall
126981	District parents offer in Cologne-Chorweiler help 	District parents offer assistance in Cologne-Chorweiler	District parents offer assistance in Cologne-Chorweiler
126982	AG Harbor demands the final removal stop 	AG Hafen calls for the final expansion stop	AG Hafen calls for a definitive halt to expansion
126983	Cairo is located in the middle of Cologne 	Cairo is located in the middle of Cologne	Cairo is in the middle of Cologne
126984	"Exciting guests at ""Treff at the oven"" plus leadership "	Exciting guests at “Treff am Ofen” plus guided tour	"Exciting guests at ""Treff am Ofen"" plus guided tour"
126986	Obtaining way of school: who pays for the ride? 	Difficult way to school: who pays for the trip?	Difficult way to school: Who pays for the ride?
126987	After the cancellation remains an unnecessary aftertaste 	After the cancellation, an unnecessary aftertaste remains	After the cancellation remains an unnecessary aftertaste
126988	Net and Norma want to grow - city has no objection 	Netto and Norma want to grow - the city has no objections	Netto and Norma want to grow - city has no objections
126989	Zesser beet farmers denounce EU aid 	Sugar beet farmers denounce EU subsidies	Zück beet farmers denounce EU subsidies
126990	Kitas of the workers' welfare remain closed again 	Daycare centers of the Arbeiterwohlfahrt remain closed again	Kitas of the Arbeiterwohlfahrt remain closed again
126991	Busy from the Hambach Forst has to go to jail 	Squatters from the Hambach Forest have to go to prison	Occupier from Hambach Forest must go to prison
126992	Stefan Waggershausen: Coming soon again? 	Stefan Waggershausen: Will you be live again soon?	Stefan Waggershausen: Live again soon?
126993	Committee proposes cultivation for school center Donrather Triangle 	The committee proposes an extension for the Donrather Dreieck school center	Committee proposes extension for Donrather Dreieck school center
126995	How good is Bayer 04 Leverkusen really? 	How good is Bayer 04 Leverkusen really?	How good is Bayer 04 Leverkusen really?
126996	Former NFL professional in dispute over parking shot 	Former NFL professional shot dead in parking dispute	Former NFL pro shot dead in dispute over parking space
126997	Surveillance cameras transform alleged violent violent 	Surveillance cameras convict suspected violent criminals	Surveillance cameras convict suspected perpetrator of violence
126998	Ex-hockey national coach around Peters criticize DHB sharp 	Ex-hockey national coach around Peters criticize DHB sharply	Ex-hockey national coaches around Peters sharply criticize DHB
126999	Safety company Kötter screws back expansion speed 	Security company Kötter is slowing down the pace of expansion	Security company Kötter scales back pace of expansion
127000	Stricter climate protection requirements for trucks and buses 	Stricter climate protection requirements for trucks and buses	Stricter climate protection targets for trucks and buses
127001	What motorists need to know about Carnival 	What motorists need to know about Carnival	What drivers need to know about carnival
127002	Fashion chain Tom Tailor is to become Chinese 	Fashion chain Tom Tailor is set to become Chinese	Fashion chain Tom Tailor to become Chinese
127003	Hans room looks humanity acute threatened 	Hans Zimmer sees humanity as acutely threatened	Hans Zimmer sees humanity acutely threatened
127004	Cuba boosts cigar paragraph despite stricter laws 	Cuba increases cigar sales despite stricter laws	Cuba increases cigar sales despite stricter laws
127006	Honda closes work in the UK 	Honda closes UK plant	Honda closes plant in Great Britain
127007	Greens criticize empty flights from Cologne / Bonn 	Greens criticize empty flights from Cologne / Bonn	Greens criticize empty flights from Cologne/Bonn
127008	Education fair Didacta: Digitization in the center 	Didacta education fair: focus on digitization	Didacta education fair: focus on digitization
127010	Michael Bublé brings himself to cult TV show 	Michael Bublé talks about cult TV show	Michael Bublé gets himself in the conversation for cult TV show
127011	"Matip: Liverpool player follow Klopp ""unconditional"" "	"Matip: Liverpool players follow Klopp ""unconditionally"""	"Matip: Liverpool players follow Klopp ""unconditionally"
127012	Free Wi-Fi for the town hall and Rathausplatz is coming in March 	Free WiFi for the town hall and town hall square comes in March	Free WLAN for the town hall and town hall square coming in March
127013	Warning strike: Kitas and Homes of the AWO affected 	Warning strike: Awo daycare centers and homes affected	Warning strike: Awo daycare centers and homes affected
127014	ADFC wants cycling road next to the second track of the S11 	ADFC wants bike route next to the second track of the S11	ADFC wants bike lane next to second track of S11
127015	Thousands of cranes pull over the Eifel 	Thousands of cranes migrate across the Eifel	Thousands of cranes migrate over the Eifel
127016	Historical photos show everyday life around 1918 in Leverkusen 	Historical photos show everyday life in Leverkusen around 1918	Historical photos show everyday life around 1918 in Leverkusen
127017	Angelsdorfer are outraged over plans for cemetery 	Angelsdorfers are outraged about plans for a cemetery	Angelsdorfer are indignant about plans for cemetery
127018	Once again fruit fly alarm in New Zealand 	Again fruit fly alarm in New Zealand	Another fruit fly alert in New Zealand
127019	Property flug arrived from Germany in Kabul 	Deportation flight from Germany arrived in Kabul	Deportation flight from Germany arrives in Kabul
127021	Cologne Council lets direct award to KVB legally check 	Cologne Council has direct award to KVB legally checked	Cologne Council has direct award to KVB legally examined
127022	Jan Böhmermann starts with Bela B. into the new year 	Jan Böhmermann starts the new year with Bela B.	Jan Böhmermann starts the new year with Bela B.
127023	Dendemann gives sensational concert in Cologne 	Dendemann gives a sensational concert in Cologne	Dendemann gives sensational concert in Cologne
127024	Building money fires prices and often goes to the wrong 	Baukindergeld fires up prices and often goes to the wrong people	Construction subsidy spurs prices and often goes to the wrong people
127025	"""I live with Anna-Carina in the camper"" "	"""I live with Anna-Carina in the mobile home"""	"""I live with Anna-Carina in a mobile home""."
127026	Two ships collided - 15 injured 	Two ships collided - 15 injured	Two ships collided - 15 injured
127027	Because of driver's fangels: replacement buses instead of northwest railways 	Due to a lack of train drivers: replacement buses instead of northwest railways	Due to shortage of train drivers: substitute buses instead of northwest trains
127028	"Clouds make view of ""Supermond"" difficult "	Clouds make it difficult to see the “super moon”	"Clouds make view of ""supermoon"" difficult"
127029	Bert Wollersheim is bankrupt 	Bert Wollersheim is broke	Bert Wollersheim is broke
127030	Forest parts of Castle Grachte cut back 	Forest parts cut back from Schloss Gracht	Forest parts of Gracht Castle cut back
127032	Bergheim introduces free parking for electric vehicles 	Bergheim introduces free parking for electric vehicles	Bergheim introduces free parking for electric vehicles
127033	No reus, no title - the reasons for the BVB crisis 	No Reus, no title - the reasons for the BVB crisis	No Reus, no title - the reasons for BVB's crisis
127034	Family tragedy: Mother kills child and then himself 	Family tragedy: mother kills child and then herself	Family tragedy: mother kills child and then herself
127035	Shell: Liquid natural gas can save a lot of greenhouse gas 	Shell: Liquid natural gas can save a lot of greenhouse gas	Shell: Liquid natural gas can save a lot of greenhouse gas
127036	Louis Schaub Back in the training of the 1st FC Cologne 	Louis Schaub back in training with 1. FC Cologne	Louis Schaub back in training at 1. FC Köln
127037	Landtag President introduces itself to the questions of the students 	The President of the Landtag answers questions from the students	President of the state parliament faces the questions of the pupils
127038	Flight Chaos to Brexit: The topics of travel fairs ITB 	Flight chaos until Brexit: The topics of the ITB travel fair	Flight chaos to Brexit: The topics of the travel trade show ITB
127039	ARD completes cooperation with Hitzlsperger 	ARD ends cooperation with Hitzlsperger	ARD ends cooperation with Hitzlsperger
127040	Drag cranes via Oberberg - Report sightings 	Cranes move over Oberberg - report sightings	Cranes migrate over Oberberg - report sightings
127041	Number of vacancies in Germany at peak 	Number of vacancies in Germany at the highest level	Number of job vacancies in Germany at all-time high
127042	Bus of the VFR sprayed with graffiti 	VfR bus sprayed with graffiti	Bus of the VfR sprayed with graffiti
127043	Police are looking for a large bid after five-year-old 	Police are looking for five-year-olds with large numbers	Police search for five-year-old with large contingent
127044	BGH orders process against armament staff 	BGH orders lawsuit against armaments workers	BGH orders trial of defense employee
127046	These changes plans the FIFA 	Fifa is planning these changes	These changes are planned by Fifa
127048	RWE calls for damages of Braunkohlegnern 	RWE demands compensation from opponents of lignite	RWE demands compensation from lignite opponents
127049	Bernie Sanders announces renewed candidacy for US Presidency 	Bernie Sanders announces renewed candidacy for US presidency	Bernie Sanders announces renewed candidacy for US presidency
127050	Fatih Akin: Fear, Horror and Violence 	Fatih Akin: Fear, Horror and Violence	Fatih Akin: Fear, Horror and Violence
127051	Robber threatens employee with pistol 	Robber threatens employees with a gun	Robber threatens employee with pistol
127052	Fans wanted to storm EuroSport cabin 	Fans wanted to storm the Eurosport cabin	Fans wanted to storm Eurosport booth
127053	"Huawei founder: ""USA can not destroy us"" "	"Huawei founder: ""USA cannot destroy us"""	"Huawei founder: ""U.S. cannot destroy us"""
127054	Several injured in shipwreck before Rügen 	Several injured in a ship accident off Rügen	Several injured in shipping accident off the island of Rügen
127055	Karl Lagerfeld is dead 	Karl Lagerfeld is dead	Karl Lagerfeld is dead
127056	Storage field leaves gap in international fashion world 	Lagerfeld leaves a gap in the international fashion world	Lagerfeld leaves gap in international fashion world
127057	Schalke's Serdar locked for three games 	Schalkes Serdar suspended for three games	Schalke's Serdar suspended for three games
127058	Pupils should not bring any drinks to oldcomers 	Schoolchildren should not bring drinks to old women	Pupils should not bring drinks on Altweiber
127059	Aogo back in VFB team training 	Aogo back in VfB team training	Aogo back in VfB team training
127061	For leather goods voegels there are convertible satchels 	At Lederwaren Voegels there are convertible satchels	At Lederwaren Voegels you can find convertible satchels
127062	New duckhouses on the Aachener Weiher 	New duck houses on the Aachen pond	New duck houses on the Aachen pond
127063	Karl Lagerfeld best sayings 	Karl Lagerfeld's best sayings	Karl Lagerfeld best sayings
127064	Schalke mood at zero point - discussion about Heidel 	Schalke mood at zero point - discussion about Heidel	Schalke mood at rock bottom - discussion about Heidel
127065	Enjoy deep prices 	Great pleasure at rock-bottom prices	High pleasure at rock bottom prices
127066	Karl Lagerfeld in the circle of his models 	Karl Lagerfeld among his models	Karl Lagerfeld in the circle of his models
127069	33-year-old is said to have raped woman on the Summerjam 	33-year-old is said to have raped woman on the Summerjam	33-year-old allegedly raped woman at Summerjam
127070	1-cent transfers can be fraud mesh - what is behind it 	1-cent transfers can be a scam - what's behind them	1-cent transfers can be a scam - what's behind them
127071	Caterers invite wheel loaders to vice 	Criminals load wheel loaders onto trucks	Perpetrators load wheel loader on truck
127072	Lenin mausoleum closed in Moscow until mid-April 	Lenin Mausoleum in Moscow closed until mid-April	Lenin Mausoleum in Moscow closed until mid-April
127073	Women are also allowed to be partially sweeped boxes 	Women are also allowed to box partially veiled	Women are also allowed to box partially veiled
127074	We are giving away tickets for the laughing Kölnarena 	We are giving away tickets for the Laughing Cologne Arena	We raffle tickets for the Laughing Kölnarena
127075	VW diesel scandal: damper for VW customers in court 	VW diesel scandal: damper for VW customers in court	VW diesel scandal: Damper for VW customers in court
127076	"CarSharing - ""The Winner Takes It All"" "	"Car sharing - ""The winner takes it all"""	"Car sharing - ""The winner takes it all"""
127077	Thieves claw Dino from museum and put it in roundabout 	Thieves steal Dino from the museum and put him in the roundabout	Thieves steal dinosaur from museum and put him in traffic circle
127078	Woman eating boys over the clouds 	Woman gives birth to boy above the clouds	Woman delivers boy above the clouds
127079	SPD wins, big coalition again with majority 	SPD wins, grand coalition again with majority	SPD makes gains, grand coalition regains majority
127080	Strong sayings, many secrets 	Strong sayings, many secrets	Strong sayings, many secrets
127081	Carnival celebrate without uniforms and mass Halligalli 	Celebrating carnival without uniforms and mass Halligalli	Celebrate carnival without uniforms and mass halligalli
127082	Kampl rises to the RB team training - Forsberg should follow 	Kampl joins the RB team training - Forsberg is to follow	Kampl joins RB team training - Forsberg to follow
127083	"""Babykino"" in pregnant women is prohibited from 2021 "	"""Baby cinema"" for pregnant women will be banned from 2021"	"""Baby cinema"" in pregnant women will be banned from 2021"
127084	Two young people attack 55-year-olds in pastures 	Two young people attacked 55-year-olds in Weiden	Two youths attack 55-year-old woman in Weiden
127085	Two thieves fail with chocolate robbery 	Two thieves fail with a chocolate robbery	Two thieves fail with chocolate robbery
127086	With clown masks and chainsaw: process against attackers 	With clown masks and chainsaw: trial against attackers	With clown masks and chainsaw: trial against attacker
127087	Trainer Ruthenbeck extended, longtime employee leaves the club 	Coach Ruthenbeck extended, long-term employee leaves the club	Coach Ruthenbeck extended, long-time employee leaves club
127088	Bayern-Fan Boris Becker hopes: Do not lose everything immediately 	Bayern fan Boris Becker hopes: Don't lose everything right away	Bayern fan Boris Becker hopes: Do not lose everything immediately
127090	Why are the German problem wolves released for launch? 	Why are the German problem wolves released for shooting?	Why are the German problem wolves released for shooting?
127091	Passenger dies after blows: 17-year-old 	Passenger dies after being beaten: 17-year-old captured	Passenger dies after beating: 17-year-old caught
127092	Homeless steals Altar ceilings to stay out of the chapel 	Homeless man steals altar ceilings from chapel to spend the night	Homeless man steals altar blankets to spend the night from chapel
127094	"Hamburg ""fishing port"" -Gastronom Rüdiger Kowalke Tot "	Hamburg's “Fischereihafen” restaurateur Rüdiger Kowalke dead	"Hamburg ""Fischereihafen"" restaurateur Rüdiger Kowalke dead"
127095	Brand at Lyondell Basell in Wesseling 	Fire at Lyondell Basell in Wesseling	Fire at Lyondell Basell in Wesseling
127096	Application procedures for future stores is on 	The application process for future country doctors is underway	Application process for future rural physicians begins
127097	Ferryman stands against City in the Schalke Tor 	Ferryman is against City in Schalker Tor	Fährmann stands in the Schalke goal against City
127098	52-year-old motorist stood under drugs 	52-year-old driver was drugged	52-year-old driver was on drugs
127100	Size of Teddy Bear may be specified as diagonal 	The size of the teddy bear can be given as a diagonal	Size of teddy bear may be specified as diagonal
127101	Two times the same bank attack: Process 	Raid the same bank twice: trial	Robbing the same bank twice: Process
127102	As Karl Lagerfeld once almost a lit.cologne evening blew 	When Karl Lagerfeld once almost blew up a lit.Cologne evening	When Karl Lagerfeld once almost blew up a lit.Cologne evening
127103	Ferryman stands against City in the goal 	Ferryman is against City in the gate	Fährmann in goal against City
127104	Drunk driver hunts by Cologne-Höhenberg 	Drunk driver chases through Cologne-Höhenberg	Drunk driver chases through Cologne-Höhenberg
127105	True Fruits and Co. - Profit with racist motifs 	True Fruits and Co. - Profit with racist motives	True Fruits and Co. - profit with racist motives
127107	Several people spilled in Swiss Alps 	Several people buried in the Swiss Alps	Several people buried in Swiss Alps
127108	Price explosion for real estate go past many cities 	Price explosion for real estate is passing many cities	Price explosion for real estate passes many cities by
127109	Approval signals to stainless steel move 	Approval for the Damstahl move signaled	Agreement to Damstahl move signaled
127110	Will Bayern be favored? Allegation to CSU Transport Minister 	Will Bavaria be favored? Accusation against CSU transport minister	Is Bavaria being favored? Reproach to CSU Minister of Transport
127111	"Hertha Trainer Dardai: Maier against Bavaria ""Sure"" "	"Hertha coach Dardai: Maier against Bayern ""safe"""	"Hertha coach Dardai: Maier against Bayern ""certainly in"""
127112	Preschool children experimented in rooms of the th 	Preschool children experimented in rooms of the TH	Preschool children experimented in rooms of the TH
127113	How the ARD wants to improve your image with controlled language patterns 	How the ARD wants to improve its image with controlled speech patterns	How ARD wants to improve its image with controlled speech patterns
127114	Many accidents due to lightning ice cream in the Oberbergische Südkreis 	Many accidents due to black ice in the southern district of Oberberg	Many accidents due to black ice in the southern Oberberg district
127115	New talk round in trading dispute between USA and China 	New round of talks in the trade dispute between the USA and China	New round of talks in the trade dispute between the USA and China
127116	Long laughs for the players 	Lots of laughs for the players	Lots of laughs for the players
127117	Painter Lutz Schnitzler gives his pictures against a donation 	Painter Lutz Schnitzler lends his pictures for a donation	Painter Lutz Schnitzler lends his paintings for a donation
127118	Passport or vaccination advice in Wipperfurth and Lindlar Duty 	Vaccination certificate or vaccination advice is mandatory in Wipperfürth and Lindlar	Vaccination certificate or vaccination consultation mandatory in Wipperfürth and Lindlar
127119	Car software for thousands car dealerships made 	Automotive software produced for thousands of dealerships	Automotive software produced for thousands of car dealerships
127120	Alright pressure Rheinahr GmbH & Co. KG 	Warlich Druck RheinAhr GmbH & Co. KG	Warlich Druck RheinAhr GmbH & Co KG
127121	Mrs. Sporty Cologne-Rath 	Mrs. Sporty Cologne-Rath	Mrs. Sporty Cologne-Rath
127122	Los Bergisch Gladbach 	LOS Bergisch Gladbach	LOS Bergisch Gladbach
127123	NRW-FDP calls for focus kitas with flexible opening hours 	NRW-FDP calls for focus daycare centers with flexible opening times	NRW FDP calls for priority daycare centers with flexible opening hours
127125	In the end, the parents - comprehensive schools are increasingly popular 	In the end it is the parents who decide - comprehensive schools are becoming increasingly popular	In the end, it's the parents who decide - comprehensive schools increasingly popular
127126	"The ""old mountains"" with LED lamp retrofitted "	"The ""old man from the mountains"" retrofitted with LED lights"	"Retrofitted the ""old man from the mountain"" with LED lights"
127127	Close to the fire and not burned - Waggershausen with 70 	Close to the fire and not burned - Waggershausen at 70	Close to the fire and not burned - Waggershausen at 70
127128	"Labbadia self-confident: ""Would not have risen with the HSV"" "	"Labbadia confidently: ""Wouldn't have relegated with HSV"""	"Labbadia confident: ""Would not have been relegated with HSV""."
127129	DJ-Star Felix Jaehn meets students 	DJ star Felix Jaehn meets students	DJ star Felix Jaehn meets students
127130	HR statements must include fingerprints in the future 	In future, ID cards must contain fingerprints	ID cards must contain fingerprints in the future
127131	Sven Bender is fit for Krasnodar 	Sven Bender is fit for Krasnodar	Sven Bender is fit for Krasnodar
127132	Hamburger SV gets Mutzel as a sports director from Hoffenheim 	Hamburger SV brings Mutzel as sports director from Hoffenheim	Hamburger SV brings in Mutzel as sports director from Hoffenheim
127133	Former transplant medicine Broelsch died 	Former transplant doctor Broelsch has died	Former transplant physician Broelsch died
127134	"ANNENMAAYANDEIT Put your album ""Drop Shadow"" in Cologne "	AnnenMayKantereit present their album “Schlagschatten” in Cologne	"AnnenMayKantereit present their album ""Schlagschatten"" in Cologne"
127136	Protest in front of the town hall against road buildings 	Protest in front of the town hall against road construction subsidies	Protest in front of the city hall against road construction fees
127137	Obvution result: Child died by violence 	Autopsy result: child died of violence	Autopsy result: child died by violence
127138	"Bierhoff reaction: Ballack ""support with offers"" "	"Bierhoff reaction: Ballack ""support with offers"""	"Bierhoff reaction: Ballack ""to support with offers""."
127139	Vettel's teammate Leclerc gives sound at Formula 1 tests 	Vettel's team-mate Leclerc sets the tone in Formula 1 tests	Vettel's teammate Leclerc sets the tone at Formula 1 tests
127140	Police discover cannabis plantation with 1600 plants 	Police discovered cannabis plantation with 1,600 plants	Police discovered cannabis plantation with 1600 plants
127141	In the future, robots should advise and inventory 	In the future, robots will advise and take inventory	In the future, robots will advise and take inventory
127142	"""Big stage"": Bavaria know what ""goes off"" in Liverpool "	"""Big stage"": Bayern know what's ""going on"" in Liverpool"	"""Big stage"": Bayern know what ""goes down"" in Liverpool"
127143	"Geiger better than ever: 2. Rank in Stockholm ""Madness"" "	"Geiger better than ever: 2nd place in Stockholm ""Wahnsinn"""	"Violinist better than ever: 2nd place in Stockholm ""Insane"""
127144	City of Cologne Rent Buildings in Sülz for Refugees 	City of Cologne rents buildings in Sülz for refugees	City of Cologne rents building in Sülz for refugees
127145	"Discussion about Ard- ""Framing Manual"" continues "	Discussion about ARD “Framing Manual” continues	"Discussion about ARD ""Framing Manual"" continues"
127146	Vapiano also checks closures for more profitability 	Vapiano is also checking closings for more profitability	Vapiano also examines closures for more profitability
127147	Almost 1000 coach from the Olympic US team blocked 	Almost 1000 coaches from the US Olympic team banned	Nearly 1000 coaches banned from U.S. Olympic team
127148	Strong smoke through a trafogrand in Cologne 	Heavy smoke development from a transformer fire in Cologne	Heavy smoke development due to a transformer fire in Cologne
127151	Reports: London wants to escape nationality 	Reports: London wants IS woman to be stripped of her citizenship	Reports: London to revoke citizenship of IS woman
127152	Mannheim introduces with 6: 5 against Bremerhaven Punkterkord 	Mannheim sets a record with 6: 5 against Bremerhaven	Mannheim sets points record with 6:5 against Bremerhaven
127153	Bayern defends courageous - zero numbers in Liverpool and Lyon 	Bayern defend courageously - zero numbers in Liverpool and Lyon	Bayern defends courageously - Zeros at Liverpool and Lyon
127154	Lawine spills skiers on Swiss slopes 	Avalanche buried skiers on Swiss slopes	Avalanche buries skier on Swiss slope
127155	Beautiful healing world 	Beautiful and ideal world	Beautiful ideal world
127157	More bike racks in schools 	More bike racks in schools	More bike racks at schools
127158	Skiverband hopes for top result at Nordic Ski World Cup 	Ski association hopes for a top result at the Nordic World Ski Championships	Ski association hopes for top result at Nordic World Ski Championships
127159	Stone-rich Gloria Vanderbilt is an Instagram star 	Rich Gloria Vanderbilt is an Instagram star	Stone rich Gloria Vanderbilt is an Instagram star
127160	How do you deal with sexual assaults of children? 	How do you deal with sexual assault against children?	How do you deal with child sexual assault?
127161	Life-threatening - who should not eat pork 	Life-threatening - who should definitely not eat pork meat	Life-threatening - who in any case should not eat pork fat
127162	Commuters should use cycle paths from Rhein-Berg to Cologne 	Commuters are to use the cycle superhighways from Rhein-Berg to Cologne	Commuters to use high-speed bike lanes from Rhine-Berg to Cologne
